amenities,descripcion,nombre,score
"Free parking,Free High Speed Internet (WiFi),Hot tub,Yoga classes,Free breakfast,Bicycle rental,Bicycles available,Children's television networks,Secured parking,Wifi,Outdoor pool,Pool / beach towels,Heated pool,Shallow end in pool,Breakfast available,Breakfast in the room,Complimentary Instant Coffee,Complimentary welcome drink,Outdoor dining area,Wine / champagne,Boating,Game room,Aerobics offsite,Patio,Raquetball offsite,Walking tours,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Center with Internet Access,Meeting rooms,Head massage,24-hour security,Baggage storage,Chapel / shrine,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Outdoor furniture,Sun deck,Sun terrace,Sun umbrellas,Doorperson,First aid kit,Umbrella,24-hour front desk,Express check-in / check-out,Clothes dryer,Dry cleaning,Laundry service,Washing machine,Ironing service,Blackout curtains,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Flatscreen TV,Sofa bed,Walk-in shower,Room service,Safe,Seating area,Telephone,Bottled water,Private bathrooms,Wake-up service / alarm clock,Bath / shower,Complimentary toiletries,Hair dryer,Landmark view,Pool view,Non-smoking rooms,Suites,Family rooms","The Boutique Hotel Orilla del Rio was until the year 1996 a home filled with family warmth, full of love, which was our home. Years later we wanted to open our doors by making our home a place where guests could discover new experiences, and also allow others to feel like home, even when they are far away.Every corner of this boutique hotel is full of important moments and memories, for this reason we have overseen everything in order to make your stay more comfortable.We are located in the safest area of Guayaquil, where you can walk with ease of mind. We invite you to learn more about the services and the rooms we offer.",Casa Garcia Hotel,4.0
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Wifi,Bar / lounge,Airport transportation,Business Center with Internet Access,Laundry service,Air conditioning,Desk,Room service,Seating area,Telephone,Kitchenette,Bath / shower,Complimentary toiletries,Clothes rack,Wake-up service / alarm clock,Non-smoking rooms,Suites","MundialCity, new hotel, in front of Guayaquil's airport. Located 5 minutes from the National buses station. 10 minutes from Malecon 2000 of Guayas River, Cerro Santa Ana, Barrio Las Penas and Iguanas Park. Rooms and suites with security, pool, gym, free parking, restaurant, internet access, air conditioning, TV, daily cleaning, laundry and Buffet Breakfast.",Mundial City Hotel,3.5
"Paid private parking nearby,Wifi,Restaurant,Children Activities (Kid / Family Friendly),Business Center with Internet Access,Non-smoking hotel,24-hour front desk,Laundry service,Air conditioning,Desk,Telephone,Family rooms","See why so many travelers make Hotel Sander their hotel of choice when visiting Guayaquil. Providing an ideal mix of value, comfort and convenience, it offers a budget friendly setting with an array of amenities designed for travelers like you.,Given the close proximity of popular landmarks, such as Iglesia San Francisco (0.5 mi) and Captain Morgan's Pirate Ship (0.7 mi), guests of Hotel Sander can easily experience some of Guayaquil's most well known attractions.,Guest rooms offer amenities such as air conditioning and a desk, and guests can go online with wifi offered by the hotel.,Hotel Sander features a 24 hour front desk, to help make your stay more enjoyable. The property also boasts an on-site restaurant. If you are driving to Hotel Sander, there is paid private parking available nearby.,While in Guayaquil be sure to experience nearby seafood restaurants such as Caracol Azul, La Pata Gorda, or La Pata Gorda.,Plus, during your trip, don't forget to check out an art gallery, such as Casa Marin.,At Hotel Sander, your comfort and satisfaction come first, and they look forward to welcoming you to Guayaquil.",GH Sander Hotel,3.0
"Paid private parking on-site,Free High Speed Internet (WiFi),Internet,Pool,Fitness Center with Gym / Workout Room,Free breakfast,Children Activities (Kid / Family Friendly),Airport transportation,Pool / beach towels,Rooftop pool,Adult pool,Wine / champagne,Air conditioning,Housekeeping,Private balcony,Room service,Cable / satellite TV,Flatscreen TV,Extra long beds,Complimentary toiletries,Safe,Wardrobe / closet,Bottled water,Iron,Sofa bed,Hair dryer,Landmark view,Non-smoking rooms,Suites",,Black Castle Guesthouse,5.0
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Shuttle bus service,Meeting rooms,Baggage storage,Concierge,24-hour front desk,Parking garage,Wifi,Bar / lounge,Coffee shop,Snack bar,Newspaper,Non-smoking hotel,Express check-in / check-out,Air conditioning,Housekeeping,Safe,Bottled water,Suites","It is said that the time of staying in a hotel for a smart business traveler, a weekender,or a tourist is approximately ten to twelve hours. Neither more nor less than that. A hotel stay should preferabl be simple,time when you can relax and be yourself. Resetting your day, from one day to the next, needs three basic actions: take a shower,sleep like a King,and get your self dressed to go on. Based on this most straight forward concept of staying in a hotel,any smart opened mind will love YU!,a new kind of hotel...and not just because the XL-King size bed, or the powerful rain shower,or the wall-to-wall window,or the free Wi-Fi internet access. It's all those things plus the fact that we care about your pocket. YU!means more with less,a room for people lik eyou...By""you""we mean smart travelers,the weekenders,the adventurers with style,the shoppers,the workaholics short and large. Those who jump from a place to another, seeking for a new experience...and that also,means you. YU!offers 20 brand new rooms in amodern 5 floors building located two blocks from the most important city site in the center of Guayaquil,and a 10 min ride to the Airport. Our vision is to provide you the best value for money hotel in town. To achieve this goal we have fashioned this new concept of hotel. YU!is a 2*hotel. Still believe in stars? Being a low cost hotel doesn't mean offering a low cost environment. All our rooms are non-smoking and include the following: •XL-king size bed for all Queens •sparkling white bed and bath linen •the softest memory foam pillows •wall-to-wall window •black out blind •rain shower for washing away jet lag •32 inches LED TV •individual air-conditioning •in-room safe •free movies •free Wi-Fi fo rFacebooking all your snaps ......Absolutely no swimming pool, bellboys, towel swans, or pillow chocolates.",Yu! Smarthotels,4.0
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Airport transportation,Business Center with Internet Access,Baggage storage,Concierge,24-hour front desk,Secured parking,Wifi,Bar / lounge,Restaurant,Breakfast in the room,Special diet menus,Car hire,Currency exchange,Gift shop,Non-smoking hotel,Dry cleaning,Laundry service,Ironing service,Air conditioning,Housekeeping,Room service,Safe,Kitchenette,Bridal suite,Non-smoking rooms,Suites","Beautiful areas have been designed thinking in the confort of our guest. Our motto is ""to host the world of business""",Hotel Kennedy,3.0
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Wine / champagne,Evening entertainment,Newspaper,Non-smoking hotel,Shops,Laundry service,Air conditioning,Non-smoking rooms,Family rooms","Located in Guayaquil city centre on the west bank of the River Guayas, this hostel offers free Wi-Fi access throughout the property and a restaurant, serving freshly-prepared local and international dishes. Guests can relax on the balcony, offered with some rooms, and take in the view of the city. Private bathrooms are offered in some rooms of Manso Boutique Hostal while others have access to shared facilities. Simon Bolivar Airport is just 5 km away.",Manso Boutique Guesthouse,4.0
"Free High Speed Internet (WiFi),Internet,Fitness Center with Gym / Workout Room,Children Activities (Kid / Family Friendly),Free airport transportation,Airport transportation,Shuttle bus service,Non-smoking hotel,Air conditioning,Flatscreen TV,Bath / shower,Complimentary toiletries,Non-smoking rooms","DC Suites is an excellent choice for travelers visiting Guayaquil, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay.,While staying at DC Suites, visitors can check out Iglesia San Alejo (1.3 mi), which is a popular Guayaquil attraction.,The rooms offer a flat screen TV and air conditioning, and getting online is possible, as free wifi is available, allowing you to rest and refresh with ease.,Guests arriving by vehicle have access to free parking.,If you’re looking for a steakhouse, consider a visit to La Tablita del Tartaro, which is not far from DC Suites.,Guayaquil is also known for some great art museums, including Museum of Anthropology and Contemporary Art and Museo Antropológico y de Arte Contemporáneo, which are not too far from DC Suites.,Enjoy your stay in Guayaquil!",DC Suites Aeropuerto,4.5
"Street parking,Free High Speed Internet (WiFi),Pool,Bar / lounge,Baggage storage,Concierge,24-hour front desk,Laundry service,Wifi,Outdoor pool,Non-smoking hotel,Shared bathroom,Shared kitchen,Shared lounge / TV area,Safe,Kitchenette,Family rooms","We offer affordable accommodation for backpackers and travelers who enjoy a chill, peaceful and cosy place to stay in while in the city chaos. Our facilities are design to offer a friendly atmosphere where you'll feel like home. Having lots of common areas to invite all of you to feel like part of our family. Nucapacha is in Urdesa Central, a safe and quiet neighborhood, yet close to bars, restaurants, night clubs, banks and more.",Hostel Nucapacha,4.0
"Paid private parking nearby,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Conference facilities,Solarium,Secured parking,Wifi,Hot tub,Indoor pool,Sauna,Restaurant,Breakfast buffet,Vending machine,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","Overlooking the Jardines del Malecón and the Guayas river, the Hotel Ramada is centrally located in downtown Guayaquil. Free breakfast is included. Guests can enjoy the indoor pool, solarium, sauna and fitness center. Free WiFi is available. Rooms at the Hotel Ramada offer accommodation with air conditioning. All rooms feature cable TV and free Wi-Fi and some rooms have scenic river views. Guests at the Hotel Ramada can choose from 2 dining options. ""El Malecon"" restaurant serves local cuisine dishes while the Riva Delicatessen offers fresh sandwiches and pastries. The hotel is located only 5 km from José Joaquín de Olmedo International Airport‎, and within walking distance of local restaurants and nightlife. Airport shuttles can be arranged for an extra charge, and free parking on the street is provided.",Hotel Ramada,4.0
